created_time,sentiment_score,sentiment_category,textblob_polarity,vader_compound,financial_positive,financial_negative
2010-08-15,,neutral,,,,
2010-08-16,,neutral,,,,
2010-08-17,,neutral,,,,
2010-08-18,,neutral,,,,
2010-08-19,,neutral,,,,
2010-08-20,,neutral,,,,
2010-08-21,,neutral,,,,
2010-08-22,,neutral,,,,
2010-08-23,,neutral,,,,
2010-08-24,,neutral,,,,
2010-08-25,,neutral,,,,
2010-08-26,,neutral,,,,
2010-08-27,,neutral,,,,
2010-08-28,,neutral,,,,
2010-08-29,,neutral,,,,
2010-08-30,,neutral,,,,
2010-08-31,,neutral,,,,
2010-09-01,,neutral,,,,
2010-09-02,,neutral,,,,
2010-09-03,,neutral,,,,
2010-09-04,,neutral,,,,
2010-09-05,,neutral,,,,
2010-09-06,,neutral,,,,
2010-09-07,,neutral,,,,
2010-09-08,,neutral,,,,
2010-09-09,,neutral,,,,
2010-09-10,,neutral,,,,
2010-09-11,,neutral,,,,
2010-09-12,,neutral,,,,
2010-09-13,,neutral,,,,
2010-09-14,,neutral,,,,
2010-09-15,,neutral,,,,
2010-09-16,,neutral,,,,
2010-09-17,,neutral,,,,
2010-09-18,,neutral,,,,
2010-09-19,,neutral,,,,
2010-09-20,,neutral,,,,
2010-09-21,,neutral,,,,
2010-09-22,,neutral,,,,
2010-09-23,,neutral,,,,
2010-09-24,,neutral,,,,
2010-09-25,,neutral,,,,
2010-09-26,,neutral,,,,
2010-09-27,,neutral,,,,
2010-09-28,,neutral,,,,
2010-09-29,,neutral,,,,
2010-09-30,,neutral,,,,
2010-10-01,,neutral,,,,
2010-10-02,,neutral,,,,
2010-10-03,,neutral,,,,
2010-10-04,,neutral,,,,
2010-10-05,,neutral,,,,
2010-10-06,,neutral,,,,
2010-10-07,,neutral,,,,
2010-10-08,,neutral,,,,
2010-10-09,,neutral,,,,
2010-10-10,,neutral,,,,
2010-10-11,,neutral,,,,
2010-10-12,,neutral,,,,
2010-10-13,,neutral,,,,
2010-10-14,,neutral,,,,
2010-10-15,,neutral,,,,
2010-10-16,,neutral,,,,
2010-10-17,,neutral,,,,
2010-10-18,,neutral,,,,
2010-10-19,-0.2354756817364693,neutral,-0.3,-0.4588,0.0633701086044311,0.1025485172867775
2010-10-20,,neutral,,,,
2010-10-21,,neutral,,,,
2010-10-22,0.26325948571652175,neutral,0.2760416666666667,0.6127166666666667,0.08361891160408651,0.10045898302147784
2010-10-23,,neutral,,,,
2010-10-24,,neutral,,,,
2010-10-25,0.0722763171458244,neutral,0.0,0.2003,0.0810915976762771,0.020160011947155
2010-10-26,0.3704500132707187,neutral,0.3142857142857143,0.8997,0.1077181845903396,0.0764466896653175
2010-10-27,0.2135943473868249,neutral,0.3316468253968254,0.31940625,0.14123006351292128,0.04983793967403467
2010-10-28,,neutral,,,,
2010-10-29,,neutral,,,,
2010-10-30,,neutral,,,,
2010-10-31,,neutral,,,,
2010-11-01,0.3002626130460352,neutral,0.31427083333333333,0.611855,0.13553237663581963,0.023408061405643783
2010-11-02,0.1067324130752635,neutral,0.054894179894179905,0.32926666666666665,0.045617761711279535,0.08819696617623167
2010-11-03,,neutral,,,,
2010-11-04,,neutral,,,,
2010-11-05,0.12193728271333941,neutral,0.10176587301587298,0.32935,0.034741761162877,0.07172915711998937
2010-11-06,,neutral,,,,
2010-11-07,,neutral,,,,
2010-11-08,,neutral,,,,
2010-11-09,,neutral,,,,
2010-11-10,,neutral,,,,
2010-11-11,,neutral,,,,
2010-11-12,,neutral,,,,
2010-11-13,,neutral,,,,
2010-11-14,,neutral,,,,
2010-11-15,-0.025084204626898032,neutral,0.0573475999891094,-0.1295333333333333,0.02735269442200657,0.0444951175401608
